package_id,year,supplier_name,work_unit,procurement_method,procurement_type,is_partial_snapshot_year,split,baseline_score,baseline_rank,top_feature_1,top_feature_1_contribution,top_feature_2,top_feature_2_contribution,top_feature_3,top_feature_3_contribution
10113188000,2026,ARY MUSTAMIIN MUADZ,UNIT PENGELOLA JAKARTA SMART CITY - 2.16.2.20.0.00.01.0007,Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.67600371153,661,contract_to_hps_ratio,3.2261966238,savings_to_hps_ratio,3.2261966238,procurement_type_code,3
10108533000,2026,Achmad Prawiro,"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK - 2.16.2.20.0.00.01.0000",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.66896675736,662,hps_to_pagu_ratio,5.99551692152,procurement_type_code,3,tender_duration_days,1.75581721516
10019583000,2025,PT. BAHTERA USAHA KONSTRUKSI,"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.03.0.00.0.00.03.0006",Tender,Pekerjaan Konstruksi,false,train,2.66486412702,663,procurement_type_code,5,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,contract_to_hps_ratio,1.97593341826
10018243000,2025,PT. RAMADIKA MANDIRI,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA PUSAT - 1.02.0.00.0.00.01.0001,Tender,Pekerjaan Konstruksi,false,train,2.65178832113,664,procurement_type_code,5,log_contract_value,2.12094073854,log_hps,2.09720481341
10013290000,2025,PT. ASIA REKSA ANUGRAH,SUKU DINAS SOSIAL KOTA ADMINISTRASI JAKARTA UTARA - 1.06.0.00.0.00.01.0002,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.64571857184,665,bid_submission_duration_days,6.62440568851,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,log_contract_value,1.08158506181
10015454000,2025,PT.Ganiko Adiperkasa,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA BARAT - 1.02.0.00.0.00.01.0003,Tender,Pekerjaan Konstruksi,false,train,2.64472556,666,procurement_type_code,5,bid_submission_duration_days,2.11411530543,log_contract_value,2.09251968483
10010859000,2025,PT. SYAPRIL JANIZAR,"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KOTA ADMINISTRASI JAKARTA TIMUR - 1.03.0.00.0.00.03.0005",Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.64123815775,667,supplier_prior_contract_share_year,6.49076778445,supplier_prior_package_count_year,2,savings_to_hps_ratio,1.87320292731
10100908000,2026,PT. TURBA KALIMAL KONSULTAN,SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA ADMINISTRASI JAKARTA SELATAN - 1.04.0.00.0.00.01.0004,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,true,evaluation,2.63602721618,668,hps_to_pagu_ratio,9.02457866049,bid_submission_duration_days,1.31432389099,partial_snapshot_year_flag,1
60128127,2024,PULINTA KARYA UTAMA,BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.03.0000,Tender,Pekerjaan Konstruksi,false,train,2.63508458419,669,procurement_type_code,5,contract_to_hps_ratio,2.16059310895,savings_to_hps_ratio,2.16059310895
10052252000,2025,PT.MEGA KARYA SENTRALINDO,UNIT PENGELOLA MUSEUM KEBAHARIAN JAKARTA - 2.22.0.00.0.00.01.0008,Tender,Pekerjaan Konstruksi,false,train,2.60827075694,670,procurement_type_code,5,log_contract_value,2.28656537355,log_hps,2.18277327107
10066481000,2025,PT. VISI WAHANA NUSA,SUKU DINAS SOSIAL KOTA ADMINISTRASI JAKARTA BARAT - 1.06.0.00.0.00.01.0003,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.60496770051,671,supplier_prior_contract_share_year,6.56743670251,supplier_prior_package_count_year,2,hps_to_pagu_ratio,1.93613360062
59885127,2024,PT. AULIA MULTI SARANA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",Tender,Pekerjaan Konstruksi,false,train,2.60359253589,672,procurement_type_code,5,log_contract_value,2.0849125002,log_hps,2.06385813571
10127116000,2026,PULINTA KARYA UTAMA,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA BARAT - 1.02.0.00.0.00.01.0003,Tender,Pekerjaan Konstruksi,true,evaluation,2.59349652594,673,procurement_type_code,5,contract_to_hps_ratio,2.13032886034,savings_to_hps_ratio,2.13032886034
60145127,2024,PT.WIJAYA BERLIAN TETANINDO,SUKU DINAS KESEHATAN KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.02.0.00.0.00.01.0006,Tender,Pekerjaan Konstruksi,false,train,2.58713453512,674,procurement_type_code,5,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,tender_duration_days,1.61510712474
57794127,2024,AGRINAS PANGAN NUSANTARA (PERSERO),UNIT PENGELOLA SAMPAH TERPADU - 2.11.0.00.0.00.01.0008,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.58514512417,675,hps_to_pagu_ratio,5.08570350287,log_contract_value,2.21564011916,log_hps,2.1411698446
59844127,2024,PT Fitama Putri Mandiri,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,Tender,Pekerjaan Konstruksi,false,train,2.58290551013,676,procurement_type_code,5,log_contract_value,2.02915024464,bid_submission_duration_days,2.0181403357
60119127,2024,PT. TIRAMATSI UTAMA,UNIT PENGELOLA KAWASAN PERKAMPUNGAN BUDAYA BETAWI - 2.22.0.00.0.00.01.0012,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.58195965106,677,supplier_prior_contract_share_year,8.5079635275,supplier_prior_package_count_year,2,year_value,1
10015176000,2025,PT. HUDA TATA SARANA,PUSAT PELATIHAN KESEHATAN DAERAH - 1.02.0.00.0.00.01.0010,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.58188434803,678,supplier_prior_contract_share_year,7.31055019076,supplier_prior_package_count_year,2,hps_to_pagu_ratio,1.56565077399
59714127,2024,REBEKKA GEMILANG,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA BARAT - 1.02.0.00.0.00.01.0003,Tender,Pekerjaan Konstruksi,false,train,2.58089627632,679,procurement_type_code,5,bid_submission_duration_days,2.21009027516,contract_to_hps_ratio,2.14486986403
10029798000,2025,PT Prisma Karya Utama,UNIT PENGELOLA TAMAN MARGASATWA RAGUNAN - 3.28.0.00.0.00.01.0006,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.57631790549,680,supplier_prior_contract_share_year,9.05119247549,bid_submission_duration_days,1.34631554759,supplier_prior_package_count_year,1
10058298000,2025,PT GARA SAMUDRA PERKASA,SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA SELATAN - 1.02.0.00.0.00.01.0004,Tender,Pekerjaan Konstruksi,false,train,2.57088488063,681,procurement_type_code,5,hps_to_pagu_ratio,2.84717184264,savings_to_hps_ratio,1.86244983508
59847127,2024,CV. PUTRA BAYAK RAYA,DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,Tender,Pekerjaan Konstruksi,false,train,2.56828130442,682,procurement_type_code,5,bid_submission_duration_days,2.27407358829,log_contract_value,1.91775053049
